weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;nr1;nr2;nr3;nr4;nr5;nr6;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
Sunday;29.5.2011;1;14;26;28;30;35;6;3JP;;3278312,10;6;EUR;31719,30;136;EUR;1526,60;457;EUR;159,00;14;26;28;1;30;35;7954;EUR;43,00;11504;EUR;14,40;132756;EUR;4,50;411336;EUR;1,10;
Wednesday;1.6.2011;4;6;8;11;38;43;40;4JP;;4999945,20;7;EUR;33817,70;220;EUR;1173,80;536;EUR;168,60;43;38;4;8;11;6;10416;EUR;40,90;12789;EUR;16,10;171134;EUR;4,40;473474;EUR;1,10;
Sunday;5.6.2011;8;15;16;18;21;29;11;1;EUR;7157717,80;7;EUR;42384,80;284;EUR;1139,60;815;EUR;138,90;8;21;16;18;29;15;13300;EUR;40,10;19538;EUR;13,20;214978;EUR;4,40;643505;EUR;1,10;
Wednesday;8.6.2011;6;15;21;34;38;42;9;1;EUR;1000000,00;1;EUR;105489,20;100;EUR;1150,70;289;EUR;139,30;34;6;21;38;42;15;4278;EUR;44,30;6402;EUR;14,30;67711;EUR;4,90;258686;EUR;1,10;
Sunday;12.6.2011;6;13;14;24;27;44;3;JP;EUR;947290,30;3;EUR;43417,40;126;EUR;1127,70;349;EUR;142,50;44;14;24;6;27;13;5562;EUR;42,10;8891;EUR;12,70;89509;EUR;4,60;307523;EUR;1,10;
Wednesday;15.6.2011;9;11;15;17;30;43;1;1;EUR;1970413,00;3;EUR;46893,10;117;EUR;1311,60;315;EUR;170,50;17;9;30;43;11;15;5803;EUR;43,60;8702;EUR;14,10;99384;EUR;4,50;279311;EUR;1,10;
Sunday;19.6.2011;8;16;19;26;35;40;37;1;EUR;1000000,00;2;EUR;65211,60;145;EUR;981,20;326;EUR;152,70;8;40;35;26;16;19;6216;EUR;37,70;6679;EUR;17,00;95360;EUR;4,30;235129;EUR;1,10;
Wednesday;22.6.2011;14;17;27;32;34;41;7;2;EUR;500000,00;JP;;104834,40;127;EUR;900,50;405;EUR;98,80;34;17;27;14;41;32;5366;EUR;35,10;7681;EUR;11,90;74494;EUR;4,50;262148;EUR;1,10;
Sunday;26.6.2011;7;10;16;17;39;43;11;JP;;872025,80;1;EUR;224737,90;151;EUR;866,20;298;EUR;153,60;16;10;39;7;43;17;6549;EUR;32,90;7644;EUR;13,60;91762;EUR;4,10;270880;EUR;1,10;
Wednesday;29.6.2011;2;3;14;25;38;41;1;DJP;EUR;1908887,84;3;EUR;47522,80;123;EUR;1264,40;265;EUR;205,40;38;41;2;3;25;14;5337;EUR;48,00;7082;EUR;17,50;91519;EUR;4,90;308961;EUR;1,10;
Sunday;03.7.2011;10;22;25;31;36;39;26;3JP;;3359160,60;5;EUR;39882,50;187;EUR;1163,30;428;EUR;177,80;36;31;10;39;25;22;8152;EUR;44,00;10823;EUR;16,00;130652;EUR;4,80;437914;EUR;1,10;
Wednesday;06.7.2011;5;6;17;22;24;35;45;4JP;;5048501,90;6;EUR;38714,00;199;EUR;1273,30;489;EUR;181,30;17;5;35;6;22;24;9915;EUR;42,10;13168;EUR;15,30;165928;EUR;4,40;468009;EUR;1,10;
Sunday;10.7.2011;4;25;29;33;34;44;40;1;EUR;7254065,00;4;EUR;75816,20;244;EUR;1355,80;625;EUR;185,20;29;4;34;44;33;25;12042;EUR;45,30;16241;EUR;16,20;202853;EUR;4,70;614744;EUR;1,10;
Wednesday;13.7.2011;8;17;24;34;37;38;15;JP;;779513,60;1;EUR;107183,10;96;EUR;1217,90;230;EUR;177,90;8;24;17;34;38;37;4585;EUR;42,00;5551;EUR;16,80;70501;EUR;4,80;230134;EUR;1,10;
Sunday;17.7.2011;4;9;11;17;31;33;6;3;EUR;669566,10;3;EUR;56337,60;182;EUR;1013,00;426;EUR;151,40;4;31;17;33;11;9;8399;EUR;36,20;11656;EUR;12,60;131776;EUR;4,10;356343;EUR;1,10;
